fname,lambda_010,lambda_025,lambda_050,lambda_075,lambda_100,lambda_inf,lambda_000
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-27584.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-28608.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-29632.jpg,1,0,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-30656.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-31680.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-33728.jpg,1,1,1,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-34752.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-35776.jpg,0,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-36800.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-37824.jpg,1,0,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-38848.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-39872.jpg,1,0,1,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-40896.jpg,1,1,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-41920.jpg,1,1,1,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-42944.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-43968.jpg,1,1,1,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-44992.jpg,1,1,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-46016.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-47040.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-48064.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-49088.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-50112.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-51136.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-52160.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-53184.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-54208.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-55232.jpg,1,0,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-56256.jpg,1,0,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-57280.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-58304.jpg,1,1,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-59328.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-60352.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-61376.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-62400.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-63424.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-64448.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-65472.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-66496.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-67520.jpg,1,0,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-68544.jpg,1,1,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-69568.jpg,1,1,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-70592.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-71616.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-72640.jpg,1,1,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-73664.jpg,1,1,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-74688.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-75712.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-76736.jpg,1,0,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-77760.jpg,0,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-78784.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-79808.jpg,1,1,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-80832.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-81856.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-82880.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-83904.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-25536.jpg,0,1,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-26560.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-27584.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-28608.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-29632.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-30656.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-32704.jpg,1,0,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-33728.jpg,1,1,1,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-34752.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-35776.jpg,1,0,1,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-36800.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-37824.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-38848.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-39872.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-40896.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-41920.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-42944.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-43968.jpg,0,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-44992.jpg,0,0,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-46016.jpg,1,1,1,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-47040.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-48064.jpg,1,1,1,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-49088.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-50112.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-51136.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-52160.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-53184.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-54208.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-55232.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-56256.jpg,0,0,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-57280.jpg,1,1,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-58304.jpg,1,0,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-59328.jpg,0,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-60352.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-61376.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-62400.jpg,0,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-63424.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-64448.jpg,1,1,0,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-65472.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-66496.jpg,1,1,1,0,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-67520.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-68544.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-69568.jpg,1,1,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-70592.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-71616.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-72640.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-73664.jpg,1,1,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-74688.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-75712.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-76736.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-77760.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-78784.jpg,1,1,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-79808.jpg,1,1,1,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-80832.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-81856.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-82880.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-83904.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_11936-84928.jpg,0,1,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-24512.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-25536.jpg,1,1,1,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-26560.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-27584.jpg,1,0,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-28608.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-29632.jpg,1,1,0,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-32704.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-33728.jpg,1,1,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-34752.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-35776.jpg,1,0,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-36800.jpg,1,1,1,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-37824.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-38848.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-39872.jpg,1,0,1,1,1,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-40896.jpg,1,1,0,1,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-41920.jpg,1,1,0,0,0,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_12960-42944.jpg,1,1,1,1,1,0,1
