fname,lambda_010,lambda_025,lambda_050,lambda_075,lambda_100,lambda_inf,lambda_000
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-27584.jpg,0.5393811464309692,0.6018991470336914,0.41332322359085083,0.553974986076355,0.5595294237136841,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-28608.jpg,0.5109124779701233,0.5063431859016418,0.4878094494342804,0.5404783487319946,0.5070487260818481,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-29632.jpg,0.5277251601219177,0.4445643126964569,0.44625478982925415,0.5171118378639221,0.4909921884536743,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-30656.jpg,0.5638523697853088,0.5765148401260376,0.47006258368492126,0.49984994530677795,0.4921399652957916,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-31680.jpg,0.5333823561668396,0.5073828101158142,0.4431389570236206,0.5003600716590881,0.5828145146369934,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-33728.jpg,0.556797444820404,0.5641072988510132,0.5301178693771362,0.4761020839214325,0.5076730251312256,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-34752.jpg,0.5259565114974976,0.5992237329483032,0.6579654216766357,0.5563594698905945,0.3982296288013458,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-35776.jpg,0.4920599162578583,0.5878578424453735,0.5099144577980042,0.5265693068504333,0.4543685019016266,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-36800.jpg,0.5822398066520691,0.5661020874977112,0.4766552746295929,0.4731209874153137,0.4691482186317444,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-37824.jpg,0.6049119234085083,0.4981670677661896,0.5569770336151123,0.5257771611213684,0.4962880611419678,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-38848.jpg,0.5324342250823975,0.6296672224998474,0.45827314257621765,0.5196815133094788,0.40278950333595276,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-39872.jpg,0.5382702946662903,0.4961344599723816,0.5067551732063293,0.46453356742858887,0.4080938696861267,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-40896.jpg,0.5495209693908691,0.5806046724319458,0.4884619116783142,0.4776126444339752,0.5157806873321533,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-41920.jpg,0.5606616139411926,0.6476220488548279,0.525399923324585,0.45338618755340576,0.38688868284225464,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-42944.jpg,0.5557617545127869,0.5904027223587036,0.46514782309532166,0.5619760155677795,0.46042001247406006,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-43968.jpg,0.5416271090507507,0.6672124266624451,0.5404708385467529,0.45960795879364014,0.5772289037704468,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-44992.jpg,0.572152853012085,0.5394148230552673,0.4900475740432739,0.4734562039375305,0.5094915628433228,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-46016.jpg,0.5453934073448181,0.589220404624939,0.4882147014141083,0.4581048786640167,0.42537379264831543,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-47040.jpg,0.521596372127533,0.5462326407432556,0.46364960074424744,0.514082670211792,0.4467581808567047,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-48064.jpg,0.5510138273239136,0.6285060048103333,0.5338073968887329,0.5367271900177002,0.44746601581573486,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-49088.jpg,0.5689794421195984,0.5280318260192871,0.48090383410453796,0.4271189272403717,0.4307624101638794,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-50112.jpg,0.5779196619987488,0.598263144493103,0.47466522455215454,0.5545946359634399,0.41143137216567993,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-51136.jpg,0.5279374122619629,0.5878034830093384,0.4438290297985077,0.5839473605155945,0.36767685413360596,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-52160.jpg,0.5949349403381348,0.5979886651039124,0.39945241808891296,0.5021143555641174,0.4949018955230713,0,1
sample_dataset/TCGA-KIRC/TCGA-CJ-6033/HR/TCGA-CJ-6033_10912-53184.jpg,0.5369641184806824,0.584122896194458,0.4420699179172516,0.5412124991416931,0.5022768378257751,0,1
