fname,lambda_010,lambda_025,lambda_050,lambda_075,lambda_100,lambda_inf,lambda_000
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-12800.jpg,0.56733238697052,0.5320149660110474,0.5282257795333862,0.5284358263015747,0.5626749396324158,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-13824.jpg,0.5640884041786194,0.4999285638332367,0.49755731225013733,0.5365582704544067,0.5750008225440979,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-17920.jpg,0.594385027885437,0.5858877301216125,0.5628193020820618,0.5436054468154907,0.5073212385177612,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-18944.jpg,0.5614444613456726,0.4654128849506378,0.5429304838180542,0.4438554644584656,0.5411868095397949,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-19968.jpg,0.5568782091140747,0.4840811491012573,0.5591343641281128,0.5551561117172241,0.5672876238822937,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-29184.jpg,0.5558361411094666,0.4714595377445221,0.5993952751159668,0.5360336303710938,0.5711683630943298,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-30208.jpg,0.5718878507614136,0.5402061939239502,0.5445073843002319,0.49934226274490356,0.5490376353263855,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-31232.jpg,0.6206141710281372,0.5084130167961121,0.5181962251663208,0.5020331740379333,0.5323057174682617,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-32256.jpg,0.533923327922821,0.4947080910205841,0.5773511528968811,0.5284176468849182,0.4984678626060486,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-36193.jpg,0.5922613143920898,0.5102981925010681,0.5288562774658203,0.4947945773601532,0.5206079483032227,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-37217.jpg,0.5604879260063171,0.49755942821502686,0.49396833777427673,0.5712575912475586,0.5648688673973083,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10816-39265.jpg,0.5724631547927856,0.4292055666446686,0.5114247798919678,0.5450811982154846,0.5292869210243225,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-45056.jpg,0.5572793483734131,0.4400123953819275,0.5491510033607483,0.5132498145103455,0.5390786528587341,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-47104.jpg,0.4978577494621277,0.46192479133605957,0.5502147674560547,0.564741849899292,0.49422600865364075,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-48128.jpg,0.475710391998291,0.5841119289398193,0.44112616777420044,0.5184158086776733,0.525158703327179,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-54272.jpg,0.5616704225540161,0.5148745775222778,0.5386751890182495,0.600062370300293,0.5832027196884155,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-59392.jpg,0.6106101870536804,0.5661188960075378,0.5805003046989441,0.6105862855911255,0.5559042096138,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-60416.jpg,0.49469804763793945,0.6725084185600281,0.5932494401931763,0.5413780212402344,0.5161434412002563,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-61440.jpg,0.5304954051971436,0.7093900442123413,0.5615897178649902,0.5764885544776917,0.4644753336906433,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-62464.jpg,0.5303536057472229,0.5963104367256165,0.5872665643692017,0.6070646643638611,0.4537968337535858,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-63488.jpg,0.5517600178718567,0.662064254283905,0.5750208497047424,0.5353946089744568,0.4331715703010559,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_10960-64512.jpg,0.4457279145717621,0.6556602716445923,0.3864362835884094,0.6057929992675781,0.5575255751609802,0,1
sample_dataset/TCGA-BRCA/TCGA-D8-A1XR/HR/TCGA-D8-A1XR_109696-23040.jpg,0.5014198422431946,0.5621824860572815,0.49413934350013733,0.6160355806350708,0.5806065797805786,0,1
