fname,lambda_010,lambda_025,lambda_050,lambda_075,lambda_100,lambda_inf,lambda_000
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-21504.jpg,0.44664251804351807,0.6204474568367004,0.6103929281234741,0.525851845741272,0.5850807428359985,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-22528.jpg,0.506158709526062,0.5314044952392578,0.6637231111526489,0.4656830430030823,0.5519317984580994,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-23552.jpg,0.5159367322921753,0.5813270807266235,0.6119789481163025,0.4894264340400696,0.4862176477909088,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-24576.jpg,0.5523725748062134,0.5010510087013245,0.6192049384117126,0.5198591947555542,0.435786634683609,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-25600.jpg,0.4912700355052948,0.5688063502311707,0.6472969055175781,0.5218783617019653,0.529095470905304,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-26624.jpg,0.528228223323822,0.5313743352890015,0.5187594890594482,0.4772319793701172,0.5520027279853821,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-27648.jpg,0.519250750541687,0.5833991169929504,0.5620488524436951,0.46558693051338196,0.4995543956756592,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-28672.jpg,0.5540967583656311,0.6948111653327942,0.6477681994438171,0.4776498079299927,0.46325841546058655,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-29696.jpg,0.500908374786377,0.5262471437454224,0.6153045296669006,0.5196917653083801,0.46862420439720154,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-30720.jpg,0.5021519660949707,0.4922342896461487,0.6301871538162231,0.48929038643836975,0.48121708631515503,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-31744.jpg,0.49746984243392944,0.632708728313446,0.6836501955986023,0.4602220356464386,0.531503438949585,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-32768.jpg,0.4910683333873749,0.5546641945838928,0.6102627515792847,0.49304136633872986,0.5172116756439209,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-33792.jpg,0.515945315361023,0.5783747434616089,0.5614806413650513,0.5041718482971191,0.4810117781162262,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-34816.jpg,0.5048971176147461,0.5363887548446655,0.5064828991889954,0.4720154404640198,0.49782583117485046,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-35840.jpg,0.48544320464134216,0.5042874217033386,0.5371989607810974,0.4930976927280426,0.5624160766601562,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-36864.jpg,0.4937679171562195,0.4765743911266327,0.5634373426437378,0.4348582327365875,0.5330383777618408,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-37888.jpg,0.503836452960968,0.5043500661849976,0.6165187358856201,0.46657925844192505,0.5169147849082947,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-38912.jpg,0.4544001519680023,0.525623083114624,0.4887729585170746,0.5107336044311523,0.575888454914093,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-39936.jpg,0.4890119433403015,0.5412629842758179,0.7235833406448364,0.5627409815788269,0.4980769157409668,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-40960.jpg,0.4944678544998169,0.624207615852356,0.6201058030128479,0.523686408996582,0.5181319713592529,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-41984.jpg,0.5043107867240906,0.5614778995513916,0.6069507002830505,0.5338786244392395,0.4991849958896637,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-43008.jpg,0.5256211757659912,0.606969952583313,0.6404387950897217,0.501492977142334,0.4950755536556244,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-44032.jpg,0.5333831906318665,0.5973134636878967,0.5669429302215576,0.47669821977615356,0.5133715271949768,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-45056.jpg,0.48822295665740967,0.618299126625061,0.5546917915344238,0.4268264174461365,0.4984370470046997,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-46080.jpg,0.5058358311653137,0.5451650023460388,0.6532307267189026,0.4753274619579315,0.5538988709449768,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-47104.jpg,0.44564008712768555,0.5697019696235657,0.6442244052886963,0.46785983443260193,0.5280231237411499,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-48128.jpg,0.4932282865047455,0.606873095035553,0.5961918830871582,0.4589020013809204,0.5001111030578613,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-49152.jpg,0.4416066110134125,0.706502377986908,0.6376906037330627,0.516384482383728,0.5204645395278931,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-50176.jpg,0.46505656838417053,0.6358629465103149,0.5673760771751404,0.558236300945282,0.5789458155632019,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-51200.jpg,0.4221612513065338,0.7106448411941528,0.6190952658653259,0.4790186882019043,0.5825771689414978,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-52224.jpg,0.5084686875343323,0.6237412691116333,0.6177605390548706,0.5082771182060242,0.532485842704773,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-53248.jpg,0.4536495804786682,0.6820986866950989,0.5402845144271851,0.5117331147193909,0.5724937915802002,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-54272.jpg,0.5483537316322327,0.6144149899482727,0.6541725993156433,0.5272391438484192,0.5811606049537659,0,1
sample_dataset/TCGA-LUAD/TCGA-NJ-A4YF/HR/TCGA-NJ-A4YF_100532-55296.jpg,0.5330795645713806,0.5831406712532043,0.5910373330116272,0.4903833568096161,0.4665350317955017,0,1
